Rank,Country,2016 EPI Score,10-Year Percent Change,Environmental Health,Ecosystem Vitality,EH - Health Impacts,EH - Air Quality,EH -Water and Sanitation,EV - Water Resources,EV - Agriculture,EV - Forests,EV - Fisheries,EV- Biodiversity and Habitat,EV - Climate and Energy,Environmental Risk Exposure,Household Air Quality,Household Air Quality - Risk Exposure,Air Pollution - Average Exposure to PM2.5,Air Pollution - Average Exposure to PM2.5 - Risk Exposure,Air Pollution - Average PM2.5 Exceedance,Air Pollution - Average Exposure to NO2,Access to Sanitation,Unsafe Sanitation- Risk Exposure,Access to Drinking Water,Unsafe Drinking Water Quality -Risk Exposure,Wastewater Treatment,Nitrogen Use Efficiency,Nitrogen Balance,Tree Cover Loss,Fish Stocks,Terrestrial Protected Areas (National Biome Weights),Terrestrial Protected Areas (Global Biome Weights),Marine Protected Areas,Species Protection (National),Species Protection (Global),Trend in Carbon Intensity,Trend in CO2 Emissions per KwH,Access to Electricity
84,Turkmenistan,70.24,20.96,70.44,70.04,60.76,84.27,66.29,69.7,75.81,NA,NA,49.93,93.27,60.76,95,97.11,100,23.77,93.69,87.79,66.91,82.27,35.53,80.43,69.7,100,3.26,NA,NA,52.55,53.13,NA,48.34,45.69,96.59,83.3,100
85,Samoa,70.2,27.04,83.33,57.06,71.37,88.55,90.06,48.13,68.25,NA,65.26,61.86,NA,71.37,61.2,67.24,100,95.26,100,100,85.18,92.68,95.84,86.53,48.13,57.67,100,NA,65.26,63.61,64.91,58.13,60.48,62.15,NA,100,100
86,Bahrain,70.07,7.45,74.03,66.12,59.06,71.1,91.91,91.66,31.85,NA,57.17,56.54,67.71,59.06,95,92.7,100,19.2,68.01,46.65,98,97.01,100,72.64,91.66,42.46,0,NA,57.17,49.49,48.84,94.93,50.11,39.36,60.08,90.59,96.07
87,Qatar,69.94,30.05,66.79,73.1,54.02,56.54,89.8,90.14,NA,NA,33.71,58.37,89.35,54.02,95,98.92,63.38,26.36,40.62,18,95.15,99.34,100,64.7,90.14,NA,NA,NA,33.71,56.43,54.82,55.45,56.39,68.77,94.85,72.85,96.07
88,Honduras,69.64,20.51,74.19,65.09,62.81,86.95,72.82,46.48,72.51,7.874,14.79,86.89,80.14,62.81,69.21,66.71,100,91.88,95.63,90.87,77.46,67.92,73.66,72.23,65.19,63.35,100,37.22,14.79,89.49,92.2,74.57,88.62,89.58,86.12,100,86.97
88,Guatemala,69.64,19.78,71.78,67.49,61.59,83.88,69.88,65.19,70.76,37.22,28.57,78.02,89.59,61.59,58.56,69.82,100,80.78,96.27,86.21,68.16,66.57,76.87,67.92,46.48,61.02,100,7.874,28.57,86.43,69,79.3,80.02,75.32,73.52,100,85.41
90,Equatorial Guinea,69.59,27.81,65.42,73.77,57.74,83.67,54.84,44.42,100,75.58,65.67,91.8,NA,57.74,73.17,48.6,100,85.46,93.04,96.73,70.95,90.31,0,58.1,44.42,100,100,75.58,65.67,100,100,67.87,93.53,97.6,NA,100,80.43
91,Thailand,69.54,17.68,71.61,67.46,72.74,56.32,85.77,71.28,76.24,43.23,43.86,86.08,55.92,72.74,84.84,76.02,46.13,52.88,33.09,74.1,87.3,93.68,91.99,70.11,71.28,68.33,100,43.23,43.86,83.3,74.95,88.94,89.78,93.44,53.92,61.95,100
92,United Arab Emirates,69.35,26.32,71.43,67.28,54.5,69.47,90.3,94.63,27.17,NA,56.27,89.41,38.49,54.5,95,99.64,86.33,25.1,59.73,56.43,94.29,98.01,98.35,70.54,94.63,36.22,0,NA,56.27,96.39,96.39,100,73.63,80.64,19.46,95.56,96.07
93,The Bahamas,69.34,8.04,91.85,46.83,93.42,94.09,88.06,11.37,30.77,65.61,65.81,74.59,NA,93.42,95,82.93,100,82.67,100,100,86.4,88.26,94.57,82.99,11.37,41.03,0,65.61,65.81,83.93,82.98,67.35,68.4,70.29,NA,100,100
94,Lebanon,69.14,35.22,71.69,66.6,60.34,74.44,80.29,86.61,74.7,60.93,34.61,43.86,74.74,60.34,95,99.28,83.27,49.15,64.03,62.22,75.73,97.34,95.84,52.25,86.61,66.26,100,60.93,34.61,50.75,50.12,16.03,44.46,57.94,83.79,47.62,100
95,Saudi Arabia,68.63,25.42,72.03,65.22,55.46,73.64,86.99,85.8,38.21,NA,33.9,81.69,48.3,55.46,95,91.57,97.45,0,74.37,87.27,100,96.35,89.34,62.27,85.8,50.94,0,NA,33.9,100,100,84.08,60.48,63.9,41.3,69.28,96.07
96,Suriname,68.58,-2.2,83.81,53.34,78.67,93.45,79.32,0.01,53.44,95.1,67.25,81.12,NA,78.67,91.15,83.75,100,82.36,100,98.61,74.67,82.63,83.35,76.64,0.01,69.65,4.82,95.1,67.25,79.07,77.39,87.47,79.1,82.55,NA,100,100
97,El Salvador,68.07,15.26,77.25,58.88,68.16,89.65,73.94,42.21,43.23,46.01,12.37,76.43,78.71,68.16,87.02,78.69,100,79.83,98.77,81.84,71.33,67.47,79.93,77.03,42.21,54.94,8.09,46.01,12.37,77.39,72.43,76.77,73.97,81.6,71.62,100,93.33
98,Brunei Darussalam,67.86,19.28,89.33,46.39,97.13,83.9,86.96,37.84,0.9772,NA,62.07,86.74,30.7,97.13,95,100,89.27,88.52,65.05,84.6,47.85,100,100,100,37.84,1.303,0,NA,62.07,100,100,38.48,95.85,99.4,7.6,100,83.8
99,Turkey,67.68,7.31,79.6,55.76,74.43,79.3,85.06,78.99,87.04,68.48,57.82,22.53,47.77,74.43,95,88.52,94.82,62.41,76.07,53.72,89.96,83.71,100,66.57,78.99,82.72,100,68.48,57.82,17.29,17.29,57.48,13.97,6.602,45.46,54.69,100
100,Gabon,67.37,10.37,75.06,59.68,72.06,89.88,63.25,0,85.5,88.51,46.12,89.37,70.53,72.06,86.3,79.56,100,85.77,91.71,96.25,57.34,59.71,78.41,57.55,0,80.66,100,88.51,46.12,90.7,92.8,81.33,90.65,91.37,60.7,100,89
101,Syria,66.91,37.45,70.12,63.69,67.43,65.96,76.97,83.33,97.56,NA,64.21,31.17,NA,67.43,95,96.39,61.22,50.79,43.91,72.82,91.13,82.99,72,61.77,83.33,96.75,100,NA,64.21,32.49,29.95,68.38,10.69,14.36,NA,67.68,94.71
102,Tonga,66.86,7.94,84.42,49.3,77.06,91.2,84.99,27.06,38.25,NA,56.2,79.33,NA,77.06,73.17,73.24,100,95.26,100,99.54,84.26,75.07,98.35,82.27,27.06,48.75,6.75,NA,56.2,91,90.1,87.1,65,63.47,NA,100,93.79
103,Ecuador,66.58,2.38,85.61,47.55,87.34,90.12,79.38,0,51.78,71.67,38.31,88.91,44.23,87.34,95,88.91,100,79.51,91.03,82.95,79.48,83.35,66.1,88.61,0,58.54,31.52,71.67,38.31,93.1,80.72,100,86.3,84.42,37.73,63.74,95.62
104,Egypt,66.45,37.21,69.97,62.93,65.17,58.02,86.72,78.54,51.74,NA,30.58,72.75,50.86,65.17,95,96.75,51.64,28.7,35.11,66.71,89.38,94.35,97.52,65.64,78.54,68.99,0,NA,30.58,81.7,65.34,92.85,62.6,61.25,49.11,56.1,100
105,Iran,66.32,15.46,72.26,60.38,63.21,76.68,76.89,55.91,92.39,NA,33.17,64.16,53.88,63.21,95,90.06,98.74,33.74,77.72,57.3,83.33,70.11,87.08,67.02,55.91,89.85,100,NA,33.17,64.48,62.72,75.01,58.26,60.34,50.79,63.15,100
106,Zambia,66.06,30.76,59.53,72.59,45.93,79.68,52.99,58.09,89.25,60.05,NA,97.06,NA,45.93,43.31,46.93,100,81.41,98.15,94.81,58.42,48.28,42.48,62.77,58.09,85.67,100,60.05,NA,100,100,NA,91.22,97,93.8,100,50.7
107,Indonesia,65.85,10.45,76.82,54.88,75.43,80.36,74.66,12.69,84.31,12.96,23.59,81.62,81.59,75.43,76.8,70.82,100,77.24,78.53,80.7,65.62,80.43,68.53,84.07,12.69,79.07,100,12.96,23.59,80.72,82.34,91.8,76.89,76.35,84.18,73.83,94.25
108,Sri Lanka,65.55,3.51,71.07,60.02,61.18,68.99,83.05,0,75.74,72.85,37.72,81.98,91.12,61.18,52.63,57.3,89.27,64.42,67.04,93.35,90.55,65.64,85.7,90.31,0,67.65,100,72.85,37.72,92.2,96.69,54.75,86.59,79.67,93.45,84.14,88.5
109,China,65.1,12.73,59.41,70.79,68.89,23.81,85.54,78.08,43.9,60.49,55.45,77.45,74.78,68.89,72.21,71.8,0,4.512,0,15.29,72.84,99.67,85.24,84.42,78.08,58.54,0,60.49,55.45,79.74,86.43,75.9,70.9,74.28,69.63,90.2,100
110,Bhutan,64.99,8.06,69.14,60.84,70.67,58.04,78.7,0,91.71,98.33,NA,96.34,NA,70.67,79.35,72.28,74.98,44.99,26.23,94.33,61.47,66.11,100,87.23,0,88.95,100,98.33,NA,100,100,NA,87.46,97.9,NA,100,82.7
111,Georgia,64.96,11.77,78.12,51.81,75.1,79.96,79.31,0,98.18,100,31.85,70.31,51.28,75.1,71.23,71.31,100,71.48,81.68,83.51,80.78,72.23,100,64.22,0,97.57,100,100,31.85,69.39,68.61,76.33,66.16,71.03,35.04,100,100
112,Seychelles,64.92,1.25,92.85,36.99,90.98,98.24,89.33,3.96,NA,NA,35.53,80.99,NA,90.98,95,94.55,100,98.71,100,100,96.01,86.18,86.17,88.95,3.96,NA,NA,NA,35.53,87.05,83.3,47.67,94.11,92.85,NA,100,100
113,Kuwait,64.41,45.26,65.06,63.76,56.39,48.86,89.92,81.63,NA,NA,45.47,87.12,33.57,56.39,95,92.33,43.14,7.986,30.95,38.09,100,98.67,95.84,65.17,81.63,NA,NA,NA,45.47,100,100,59.41,84.24,91.96,24.52,60.71,96.07
114,Mongolia,64.39,21.97,67.86,60.92,62.41,86.69,54.47,53.59,24.34,23.1,NA,83.56,77.08,62.41,59.9,63.4,100,93.41,100,91.87,64.73,60.75,41.41,50.97,53.59,32.45,0,23.1,NA,83.62,81.05,NA,84.54,85.04,74.45,84.97,89.49
115,Nicaragua,64.19,6.82,72.37,56.02,59.49,89.05,68.55,0,71.94,10.52,36.16,93.72,90.16,59.49,68.15,68.29,100,95.57,99.39,94.33,69.38,62.27,66.72,75.86,0,62.59,100,10.52,36.16,94.59,94,92.15,94.11,93.74,86.88,100,84.87
116,Iraq,63.97,8.24,64.19,63.75,62,56.7,73.86,68.61,87.41,NA,NA,34.64,81.88,62,95,94.92,48.95,32.8,28.67,73.46,80.13,87.23,64.84,63.26,68.61,83.22,100,NA,NA,34.78,61.35,NA,22.89,19.53,96.24,38.81,100
117,Senegal,63.73,22.7,60.36,67.1,48.27,75.78,57.02,34.29,95.03,NA,60.58,93.36,NA,48.27,62.44,62.24,100,22.35,100,87.27,59.98,59.18,57.31,51.62,34.29,93.38,100,NA,60.58,100,100,82.92,88.05,95.81,71.13,100,76.82
118,Uzbekistan,63.67,0.79,78.49,48.85,79.63,74.81,81.04,0,50.22,NA,NA,56.18,93.54,79.63,90.48,82.1,89.27,46.83,69.9,75.35,100,62.77,69.71,91.67,0,66.96,0,NA,NA,53.7,64.48,NA,56.86,49.67,99.32,76.21,100
119,Libya,63.29,26.18,75.02,51.55,66.31,84.38,74.39,68.06,70.16,NA,47.13,24.72,54.75,66.31,95,93.82,100,46.23,83.95,89.34,92.57,93.35,45.52,66.11,68.06,60.21,100,NA,47.13,14.49,33.67,26.26,27.54,21.63,40.16,98.53,100
120,Bosnia and Herzegovina,63.28,10.92,87.09,39.48,89.47,78.07,93.73,0,92.05,93.13,NA,36.62,36.87,89.47,63.65,100,90.7,75.92,70.82,72.82,89.67,90.65,99.59,95.02,0,89.4,100,93.13,NA,35.85,46.1,NA,33.54,30.98,33.58,100,90.96
120,Grenada,63.28,16.11,89.79,36.78,91.59,91.88,85.91,11.37,59.79,NA,48.06,48.53,NA,91.59,95,89.67,100,61.16,100,100,95.15,73.86,88.45,86.18,11.37,46.39,100,NA,48.06,45.38,44.64,40.79,53.39,58.43,NA,46.74,100
122,Antigua and Barbuda,62.55,4.95,88.43,36.67,84.91,93.39,87,11.37,7.086,NA,47.44,77.19,NA,84.91,95,93.07,100,67.87,100,100,84.88,79.69,92.42,90.99,11.37,9.448,0,NA,47.44,97.59,94.3,64.68,63.82,65.58,NA,100,90.96
123,Kenya,62.49,25.36,58.6,66.39,44.7,79.31,51.78,52.78,96.31,34.6,46.25,84.09,67.06,44.7,38.59,43.35,100,84.53,100,93.35,49.95,43.01,40.31,73.86,52.78,95.08,100,34.6,46.25,85.19,82.66,84.47,80.33,87.78,56.09,100,53.09
124,Swaziland,60.63,24.22,62.03,59.23,49.38,82.99,53.71,55.15,100,1.758,NA,52.93,76.66,49.38,62.44,63.96,100,84.84,100,62.99,63.37,53.49,48.33,49.65,55.15,100,100,1.758,NA,55.9,51.36,NA,50.68,53.77,82.19,60.08,69.38
125,Kiribati,60.48,14.52,73.64,47.33,66.68,90.39,63.83,27.06,NA,NA,32.93,87.32,NA,66.68,72.21,68.8,100,94.95,100,100,55.07,77.41,43.52,79.31,27.06,NA,NA,NA,32.93,100,100,100,51.24,85.34,NA,100,77.44
126,Oman,60.13,27.34,75.45,44.81,64,84.25,78.09,61.48,NA,NA,57.64,48.68,23.83,64,95,91.95,100,34.64,92.37,82.95,92.86,93.01,78.92,47.57,61.48,NA,NA,NA,57.64,48.84,45.38,61.24,41.55,46.39,0.17,94.81,96.07
127,Cote d'Ivoire,59.89,12.2,56.41,63.36,43.43,77.07,48.73,35.78,100,15.24,35.29,90.88,73.63,43.43,45.41,51.72,100,54.37,99.39,95.29,42.78,47.57,61.55,43.01,35.78,100,100,15.24,35.29,100,100,63,93.82,97.6,64.84,100,76.19
128,Congo,59.56,25.84,57.72,61.4,50.46,81.66,41.02,24.99,98.49,84.33,62.97,93.26,41.61,50.46,52.63,60.45,100,77.89,96.27,91.37,29.33,36.72,53.45,44.6,24.99,97.98,100,84.33,62.97,100,100,92.5,81.55,92.26,22.15,100,68.63
129,Zimbabwe,59.25,5,64.28,54.22,52.54,85.44,54.86,0,80.94,21.28,NA,94.31,70.99,52.54,54.21,62.82,100,90.35,100,93.35,53.87,56.43,55.04,54.1,0,74.59,100,21.28,NA,98.49,98.19,NA,90.07,90.47,61.32,100,67.11
130,Ghana,58.89,22.46,54.47,63.31,44.07,71.72,47.63,43.34,100,27.29,47.92,80.79,68.6,44.07,41.05,49.4,100,43.05,91.71,91.87,27.51,52.25,70.29,40.46,43.34,100,100,27.29,47.92,86.12,86.12,58.78,84.83,88.08,58.13,100,79.84
131,Viet Nam,58.5,20.67,68.24,48.76,69.61,54.76,80.34,19.8,83.49,23.97,42.05,82.37,41.48,69.61,70.23,69.31,36.57,51.32,42.3,79.55,73.94,67.02,91.12,89.29,19.8,77.99,100,23.97,42.05,82.66,84.25,90.38,77.53,77.02,32.03,69.81,97.4
132,Tanzania,58.34,31.19,47.25,69.43,33.52,70.85,37.38,45.47,100,42.66,60.87,94.34,NA,33.52,5,18.05,100,89.74,98.15,94.81,30.98,33.56,21.23,63.74,45.47,100,100,42.66,60.87,98.79,99.09,91.44,89.2,93.15,54.65,100,36.6
133,Nigeria,58.27,18.75,53.01,63.53,42.77,72.15,44.11,22.56,100,58.27,53.3,75.43,82.17,42.77,50.97,57.95,100,38.76,87.58,87.27,48.52,50.97,44.53,32.42,22.56,100,100,58.27,53.3,84.56,80.4,40.79,85.42,85.96,99.66,29.7,75.55
134,Vanuatu,57.74,14.5,66.63,48.85,50.99,82.75,66.15,27.06,NA,98.75,42.5,50.35,NA,50.99,35.89,55.98,100,93.1,100,100,63.83,60.23,81.9,58.64,27.06,NA,NA,98.75,42.5,56.95,55.36,33.13,55.42,50.9,NA,100,57.4
135,Uganda,57.56,22.13,51.71,63.4,40.71,63.51,50.91,32.7,100,48.13,NA,93.61,NA,40.71,5,12.65,100,59.45,91.71,94.33,36.49,37.7,58.04,71.39,32.7,100,100,48.13,NA,95.49,93.7,NA,92.09,93.15,NA,100,45.28
136,Cameroon,57.13,22.33,54.47,59.78,38.5,77.03,47.88,0,100,80.17,51.45,77.33,79.43,38.5,49.23,52.46,100,53.88,97.53,94.33,58.95,43.81,50.11,38.65,0,100,100,80.17,51.45,75.31,78.07,93.55,70.2,69.53,72.58,100,74.91
137,Maldives,57.1,22.17,87.43,26.77,83.37,97.1,81.82,4.65,NA,NA,71.79,35.92,NA,83.37,95,86.96,100,98.71,100,100,94.87,77.8,95.42,59.18,4.65,NA,NA,NA,71.79,28.56,27.08,51,24.57,48.4,NA,100,100
138,Timor-Leste,55.79,33.66,64.04,47.54,53.04,78.79,60.3,0.3,100,NA,45.22,71.39,NA,53.04,20.68,41.4,100,99.03,100,96.25,56.23,51.62,46.48,86.88,0.3,100,100,NA,45.22,70.93,69.39,85.23,63.41,67.99,NA,100,67.88
139,Guinea,55.4,22.32,46.26,64.54,30.63,65.56,42.58,37.2,100,44.91,55.59,86.95,NA,30.63,5,30.74,100,40.98,99.39,92.36,38.79,39.57,54.25,37.7,37.2,100,100,44.91,55.59,98.19,91,71.81,86.88,86.87,NA,100,55.32
140,Barbados,54.96,14.31,86.83,23.09,76.41,93.99,90.08,11.37,16.84,NA,58.16,26.5,NA,76.41,95,98.2,100,66.74,100,100,92,84.07,98.77,85.48,11.37,22.45,0,NA,58.16,6.662,6.662,21.8,47.1,50.29,NA,100,90.96
141,India,53.58,20.87,47.99,59.17,51.51,28.07,64.39,48.41,51.96,74.8,34.74,63.42,67.19,51.51,58.56,61.65,0,15.48,0,77.18,54.48,54.69,80.92,67.47,48.41,63.35,17.8,74.8,34.74,59.46,62.27,72.74,60.05,62.6,72.1,52.47,85.93
142,The Gambia,52.09,20.33,54.69,49.49,39.99,64.66,59.41,31,96.94,NA,57.01,43.63,NA,39.99,5,37.12,100,31.84,100,85.68,64.28,56.99,72.56,43.81,31,95.92,100,NA,57.01,55.36,58.97,0,48.94,54.86,NA,100,63
143,Cape Verde,51.98,15.64,69.32,34.64,59.92,81.78,66.26,19.4,47.74,NA,57.14,37.03,NA,59.92,82.56,75.11,100,20.83,100,100,70.17,63.74,75.29,55.86,19.4,30.33,100,NA,57.14,47.5,46.81,0,43.76,47.07,NA,100,82.14
144,Pakistan,51.42,16.07,52.73,50.11,57.3,34.57,66.34,16.58,41.21,NA,39.8,70.04,70.35,57.3,64.83,65.08,14.2,13.31,10.19,78.96,67.75,70.54,74.21,52.88,16.58,54.94,0,NA,39.8,76.35,70.17,78.47,62.18,63.03,75.82,53.97,92.86
145,Angola,51.32,16.53,55.18,47.46,47.12,81.74,36.68,0,100,71.28,57.04,53.54,NA,47.12,67.08,55.3,100,74.24,93.04,93.35,61.95,61.26,4.518,18.97,0,100,100,71.28,57.04,62.27,64.05,31.6,54.42,55.39,97.96,100,64.7
146,Cambodia,51.24,17.52,58.8,43.67,49.93,66.25,60.23,0,100,0,22.26,88.15,NA,49.93,32.88,47.78,96.15,54.86,74.37,91.87,57.89,57.55,49.23,76.25,0,100,100,0,22.26,100,100,49.38,94.69,96.7,73.99,100,59.37
147,Rwanda,50.34,6.09,51.88,48.79,41.41,56.24,58,0,100,63.93,NA,71.26,NA,41.41,5,0,96.15,62.82,74.37,93.35,66.05,38.65,52.64,74.67,0,100,100,63.93,NA,69.78,70.93,NA,67.29,77.02,NA,100,42.14
148,Laos,50.29,8.52,51.18,49.39,54.98,32.45,66.12,0,100,31.1,NA,90.23,NA,54.98,5,38.25,24.57,47.43,20.76,89.34,69.77,65.17,50.97,78.56,0,100,100,31.1,NA,93.7,94.59,NA,83.65,88.98,NA,100,81.57
149,Nepal,50.21,14.53,46.16,54.26,47.7,29.84,60.94,0,92.73,94.7,NA,76.59,NA,47.7,47.38,53.9,7.783,17.43,5.583,91.87,58.95,61.77,74.75,48.28,0,90.3,100,94.7,NA,82.34,66.17,NA,76.58,81.28,64.27,100,84.34
150,Yemen,49.79,17.29,57.63,41.94,53.53,76.65,42.71,0,100,NA,62.48,47.95,NA,53.53,81.78,77.37,100,29.79,80.91,90.36,62.43,46.85,34.23,27.32,0,100,100,NA,62.48,33.67,32.49,94.24,26.11,53.22,78.87,100,72.23
151,Malawi,49.69,19.97,47.53,51.86,22.21,70.74,49.63,0,100,40.32,NA,93.35,NA,22.21,5,15.52,100,89.44,99.39,94.33,56.79,14.49,72.56,54.69,0,100,100,40.32,NA,96.69,98.49,NA,88.34,89.88,NA,100,22.99
152,Comoros,49.2,48.78,54.68,43.72,29.6,84.95,49.48,3.96,100,NA,14.18,68.38,NA,29.6,52.63,50.19,100,97.13,100,99.54,53.25,27.32,72,45.36,3.96,100,100,NA,14.18,74.6,74.24,45.86,73.3,73.92,NA,100,81
153,Myanmar,48.98,1.3,51.82,46.14,46.53,44.34,64.59,0,93.73,55.52,64.35,57.74,NA,46.53,20.68,44.28,54.19,39.51,37.04,94.33,75.02,52.88,59.48,70.97,0,91.64,100,55.52,64.35,62.72,57.46,51.78,57.8,58.92,NA,100,72.91
154,Sao Tome and Principe,48.28,38.26,66.92,29.64,52.03,86.72,62,17.99,80.5,NA,67.13,1.474,NA,52.03,54.21,59.84,100,97.45,100,100,52.62,55.28,89.79,50.32,17.99,74,100,NA,67.13,0,0,7.37,0,0,NA,100,78.65
155,Guinea-Bissau,48.2,15.56,42.67,53.72,27.38,65.18,35.45,0,91.02,35.93,84.89,87.3,NA,27.38,5,33.46,100,35.51,100,90.87,40.87,42.18,58.77,0,0,88.03,100,35.93,84.89,91.3,97.89,98.33,72.28,76.69,NA,100,79.25
156,Papua New Guinea,48.02,15.93,50.29,45.75,36.94,86.8,27.14,0,97.56,81.69,49.25,46.46,NA,36.94,57.17,59.22,100,98.08,99.39,98.14,35.25,24.33,0,48.97,0,96.75,100,81.69,49.25,46.1,43.87,66.83,39.98,35.53,NA,100,43.75
157,Lesotho,47.17,32.46,56.74,37.59,37.73,85.27,47.22,29.16,95.36,NA,NA,26.17,NA,37.73,61.2,66.17,100,83.29,100,86.74,50.64,31.24,60.87,46.12,29.16,93.81,100,NA,NA,19.7,14.49,NA,38.3,32.2,NA,100,48.12
158,Solomon Islands,46.92,8.41,61.55,32.3,45.32,81.47,57.86,0,NA,72.07,47.21,39.97,NA,45.32,25.5,50.96,100,100,100,100,49.24,48.97,60.18,73.05,0,NA,NA,72.07,47.21,38.8,36.87,56.14,33.54,34.47,NA,100,51.92
159,Central African Republic,46.46,7.37,37.29,55.62,17.32,65.81,28.76,0,80.94,87.36,NA,90.87,NA,17.32,5,35.95,100,56.29,88.98,95.29,41.85,16.85,44.53,11.81,0,74.59,100,87.36,NA,100,100,NA,80.64,82.86,NA,100,26.47
160,Mauritania,46.31,20.88,50.1,42.53,36.12,74.01,40.17,0,93.06,NA,89.31,42.92,NA,36.12,65.97,64.52,100,0,100,94.33,55.65,45.36,28.41,31.24,0,90.75,100,NA,89.31,31.26,23.74,93.89,37.42,28.3,NA,100,49.44
161,Togo,46.1,18.51,42.96,49.24,31.63,65.84,31.4,0,100,47.61,57,71.34,NA,31.63,5,34.73,100,48.01,95.63,89.85,17.26,40.46,39.17,28.69,0,100,100,47.61,57,96.99,96.99,0,87.76,74.97,38.97,100,60.31
162,Sierra Leone,45.98,16.58,41.05,50.91,24.94,66.94,31.26,0,100,26.49,93.01,75.46,NA,24.94,5,27.71,100,49.7,100,95.77,25.48,35.7,38,25.87,0,100,100,26.49,93.01,72.06,88.88,72.28,71.94,72.14,NA,100,32.08
163,Ethiopia,45.83,14.75,36.96,54.69,15.38,67.51,28,0,100,76.73,NA,83.52,NA,15.38,5,22.39,100,61.58,98.77,95.29,47,11.81,23.2,30,0,100,100,76.73,NA,88.88,85.5,NA,79.72,79.99,98.64,100,56.37
164,Djibouti,45.29,36.17,67.56,23.02,56.84,85.33,60.5,0,NA,NA,52.26,39.2,NA,56.84,87.73,81.69,100,40.25,97.53,96.25,59.47,54.1,71.44,56.99,0,NA,NA,NA,52.26,37.86,35.85,64.13,31.33,26.83,NA,100,74.25
165,Burkina Faso,43.71,16.1,37.65,49.77,10.78,66.31,35.87,0,100,NA,NA,88.05,NA,10.78,5,39.33,100,37.18,100,90.87,37.67,20.9,62.23,22.68,0,100,100,NA,NA,92.8,90.7,NA,82.45,86.26,NA,100,29.45
166,Benin,43.66,16.21,44.75,42.57,28.51,64.66,41.07,7.626,NA,NA,69.22,77.29,NA,28.51,14.43,42.39,100,42.37,86.15,89.34,37.67,28.69,56.56,41.33,7.626,NA,NA,NA,69.22,100,100,0,91.51,94.92,12.53,100,66.32
167,Liberia,43.42,11.33,46.88,39.97,32.59,67.23,40.82,0,81.38,33.23,78.75,49.67,NA,32.59,5,26.06,100,52.37,100,97.2,33.92,44.6,50.11,34.65,0,75.17,100,33.23,78.75,43.87,63.61,60.64,39.15,41.08,NA,100,22.99
168,Burundi,43.37,11.12,38.94,47.81,20.7,55.48,40.62,0,100,70.48,NA,64.71,NA,20.7,5,0,93.47,63.62,72.62,93.84,60.48,25.87,51.81,24.33,0,100,100,70.48,NA,64.91,66.59,NA,61.34,65.99,NA,100,18.78
169,Haiti,43.28,12.04,50.01,36.55,35.28,76.05,38.69,0,97.25,64.35,49.82,24.41,NA,35.28,25.5,46.07,100,76.58,100,88.31,46.21,41.33,25.04,42.18,0,96.34,100,64.35,49.82,21.83,21.83,0,36.51,41.9,70.14,100,65.52
170,Sudan,42.25,13.54,49.63,34.87,39.26,77.95,31.67,0,81.81,NA,46.27,42.8,NA,39.26,55.72,58.59,100,43.71,99.39,94.33,45.4,4.911,36.79,39.57,0,75.75,100,NA,46.27,40.6,39.72,43.94,49.53,40.23,28.59,100,61.23
171,Dem. Rep. Congo,42.05,14.55,33.85,50.25,23.62,51.51,26.42,0,100,63.51,NA,76.14,NA,23.62,5,40.39,74.98,58.12,51.17,93.84,47.77,32.42,16.8,8.692,0,100,100,63.51,NA,81.05,79.07,NA,71.6,72.86,30.37,100,40.42
172,Mozambique,41.82,11.79,31.24,52.4,0,71.94,21.78,0,100,39.71,49.19,88.43,NA,0,5,20.32,100,93.72,100,90.87,39.85,18.97,11.44,16.85,0,100,100,39.71,49.19,96.09,97.29,90.02,74.63,84.11,92.74,100,46.73
173,Bangladesh,41.77,3.21,40.36,43.18,42.1,21.86,57.11,0,59.08,67.25,51.04,63.77,NA,42.1,29.47,53.19,0,10.85,0,78.38,65.18,50.32,66.1,46.85,0,71.56,21.62,67.25,51.04,51.96,85.19,95.96,43.04,42.7,68.61,66.03,78.05
174,Mali,41.48,14.62,38.36,44.59,13.23,64.05,37.81,0,100,NA,NA,73.03,NA,13.23,5,29.27,100,30.83,100,92.86,44.56,30,55.81,20.9,0,100,100,NA,NA,66.17,79.74,NA,70.55,75.66,NA,100,54.22
175,Chad,37.83,12.49,28.46,47.21,7.934,67.41,10.03,0,100,NA,NA,80.62,NA,7.934,5,45.19,100,36.36,100,94.33,23.18,8.692,8.244,0,0,100,100,NA,NA,80.4,82.02,NA,77.85,82.23,NA,100,13.31
176,Afghanistan,37.5,21.24,52.92,22.08,48.83,70.74,39.2,0,75.93,NA,NA,21.25,NA,48.83,47.38,56.65,100,51.85,76.9,92.86,51.32,49.65,19.1,36.72,0,100,3.7,NA,NA,23.74,31.26,NA,19,10.98,NA,100,70.11
177,Niger,37.48,12.82,25.11,49.86,0,63.35,11.98,0,100,NA,NA,88.33,NA,0,5,32.13,100,27.56,97.53,93.84,13.05,0,29.97,4.911,0,100,100,NA,NA,100,100,NA,75.61,77.69,66.5,100,34.44
178,Madagascar,37.1,11.21,32.69,41.51,4.483,71.53,22.07,0,100,11.76,53.37,64.68,NA,4.483,5,9.311,100,98.39,100,96.25,20.51,0,14.26,53.49,0,100,100,11.76,53.37,61.35,55.9,70.85,65.39,69.91,NA,100,38.58
